season,Coach,Team,conference,current_season_W,current_season_L,current_season_W-L%,current_season_AP Pre,current_season_AP Post,current_season_NCAA Tournament,career_at_school_Since,career_at_school_W,career_at_school_L,career_at_school_W-L%,career_at_school_NCAA,career_at_school_S16,career_at_school_FF,career_at_school_Chmp,career_overall_W,career_overall_L,career_overall_W-L%,career_overall_NCAA,career_overall_S16,career_overall_FF,career_overall_Chmp
2021,Rodney Terry,UTEP,CUSA,12,12,0.5,0,0,0,2018-19,37,48,0.435,0,0,0,0,163,156,0.511,1,0,0,0
2021,Brian Wardle,Bradley,MVC,12,16,0.429,0,0,0,2015-16,93,102,0.477,1,0,0,0,188,167,0.53,1,0,0,0
2021,Mike Balado,Arkansas State,Sun Belt,11,13,0.458,0,0,0,2017-18,51,69,0.425,0,0,0,0,51,69,0.425,0,0,0,0
2021,Tim Craft,Gardner-Webb,Big South,11,15,0.423,0,0,0,2013-14,138,121,0.533,1,0,0,0,138,121,0.533,1,0,0,0
2021,Scott Cross,Troy,Sun Belt,11,17,0.393,0,0,0,2019-20,20,39,0.339,0,0,0,0,245,200,0.551,1,0,0,0
2021,Billy Donlon,Kansas City,Summit,11,13,0.458,0,0,0,2019-20,27,27,0.5,0,0,0,0,136,121,0.529,0,0,0,0
2021,Pat Duquette,UMass-Lowell,AEC,11,12,0.478,0,0,0,2013-14,95,139,0.406,0,0,0,0,95,139,0.406,0,0,0,0
2021,Jim Ferry,Penn State,Big Ten,11,14,0.44,0,0,0,2020-21,11,14,0.44,0,0,0,0,221,260,0.459,2,0,0,0
2021,Todd Golden,San Francisco,WCC,11,14,0.44,0,0,0,2019-20,33,26,0.559,0,0,0,0,33,26,0.559,0,0,0,0
2021,Bobby Hurley,Arizona State,Pac-12,11,14,0.44,18,0,0,2015-16,104,83,0.556,2,0,0,0,146,103,0.586,3,0,0,0
2021,Tim Jankovich,SMU,AAC,11,6,0.647,0,0,0,2015-16,101,55,0.647,1,0,0,0,258,176,0.594,1,0,0,0
2021,Tony Jasick,Jacksonville,A-Sun,11,13,0.458,0,0,0,2014-15,95,123,0.436,0,0,0,0,147,170,0.464,0,0,0,0
2021,Willie Jones,North Carolina A&T,MEAC,11,10,0.524,0,0,0,2019-20,25,15,0.625,0,0,0,0,25,15,0.625,0,0,0,0
2021,Edward Joyner Jr,Hampton,Big South,11,14,0.44,0,0,0,2009-10,196,190,0.508,3,0,0,0,196,190,0.508,3,0,0,0
2021,Brad Korn,Southeast Missouri State,OVC,11,16,0.407,0,0,0,2020-21,11,16,0.407,0,0,0,0,11,16,0.407,0,0,0,0
2021,Mark Madsen,Utah Valley,WAC,11,11,0.5,0,0,0,2019-20,22,30,0.423,0,0,0,0,22,30,0.423,0,0,0,0
2021,Mark Prosser,Western Carolina,Southern,11,16,0.407,0,0,0,2018-19,37,53,0.411,0,0,0,0,37,53,0.411,0,0,0,0
2021,Steve Smiley,Northern Colorado,Big Sky,11,11,0.5,0,0,0,2020-21,11,11,0.5,0,0,0,0,11,11,0.5,0,0,0,0
2021,Darrell Walker,Little Rock,Sun Belt,11,15,0.423,0,0,0,2018-19,42,46,0.477,0,0,0,0,42,46,0.477,0,0,0,0
2021,Pat Baldwin,Milwaukee,Horizon,10,12,0.455,0,0,0,2017-18,47,70,0.402,0,0,0,0,47,70,0.402,0,0,0,0
2021,John Becker,Vermont,AEC,10,5,0.667,0,0,0,2011-12,229,96,0.705,3,0,0,0,229,96,0.705,3,0,0,0
2021,Jeff Capel III ,Pitt,ACC,10,12,0.455,0,0,0,2018-19,40,48,0.455,0,0,0,0,215,158,0.576,3,1,0,0
2021,Bill Coen,Northeastern,CAA,10,9,0.526,0,0,0,2006-07,251,222,0.531,2,0,0,0,251,222,0.531,2,0,0,0
2021,David Cox,Rhode Island,A-10,10,15,0.4,0,0,0,2018-19,49,39,0.557,0,0,0,0,49,39,0.557,0,0,0,0
2021,Michael Fly,Florida Gulf Coast,A-Sun,10,8,0.556,0,0,0,2018-19,34,48,0.415,0,0,0,0,34,48,0.415,0,0,0,0
2021,Bill Herrion,New Hampshire,AEC,10,9,0.526,0,0,0,2005-06,197,275,0.417,0,0,0,0,434,444,0.494,3,0,0,0
2021,Matt Lottich,Valparaiso,MVC,10,18,0.357,0,0,0,2016-17,83,78,0.516,0,0,0,0,83,78,0.516,0,0,0,0
2021,Mike Morrell,UNC Asheville,Big South,10,10,0.5,0,0,0,2018-19,29,53,0.354,0,0,0,0,29,53,0.354,0,0,0,0
2021,Tic Price,Lamar,Southland,10,18,0.357,0,0,0,2013-14,112,113,0.498,0,0,0,0,279,235,0.543,2,0,0,0
2021,Mike Schrage,Elon,CAA,10,9,0.526,0,0,0,2019-20,23,30,0.434,0,0,0,0,23,30,0.434,0,0,0,0
2021,Heath Schroyer,McNeese State,Southland,10,14,0.417,0,0,0,2018-19,34,53,0.391,0,0,0,0,160,197,0.448,0,0,0,0
2021,Mark Slessinger,New Orleans,Southland,10,15,0.4,0,0,0,2012-13,114,150,0.432,1,0,0,0,114,150,0.432,1,0,0,0
2021,James Whitford,Ball State,MAC,10,13,0.435,0,0,0,2013-14,117,131,0.472,0,0,0,0,117,131,0.472,0,0,0,0
2021,Jay Young,Fairfield,MAAC,10,17,0.37,0,0,0,2019-20,22,37,0.373,0,0,0,0,22,37,0.373,0,0,0,0
2021,Jeremy Ballard,Florida International,CUSA,9,17,0.346,0,0,0,2018-19,48,44,0.522,0,0,0,0,48,44,0.522,0,0,0,0
2021,Brian Barone,SIU-Edwardsville,OVC,9,17,0.346,0,0,0,2019-20,17,40,0.298,0,0,0,0,17,40,0.298,0,0,0,0
2021,Glenn Braica,St. Francis (NY),NEC,9,10,0.474,0,0,0,2010-11,154,180,0.461,0,0,0,0,154,180,0.461,0,0,0,0
2021,Keith Dambrot,Duquesne,A-10,9,9,0.5,0,0,0,2017-18,65,47,0.58,0,0,0,0,390,220,0.639,3,0,0,0
2021,Juan Dixon,Coppin State,MEAC,9,13,0.409,0,0,0,2017-18,33,85,0.28,0,0,0,0,33,85,0.28,0,0,0,0
2021,Baker Dunleavy,Quinnipiac,MAAC,9,13,0.409,0,0,0,2017-18,52,64,0.448,0,0,0,0,52,64,0.448,0,0,0,0
2021,Geno Ford,Stony Brook,AEC,9,14,0.391,0,0,0,2019-20,29,27,0.518,0,0,0,0,143,150,0.488,0,0,0,0
2021,Joe Gallo,Merrimack,NEC,9,9,0.5,0,0,0,2019-20,29,20,0.592,0,0,0,0,29,20,0.592,0,0,0,0
2021,Earl Grant,College of Charleston,CAA,9,10,0.474,0,0,0,2014-15,127,89,0.588,1,0,0,0,127,89,0.588,1,0,0,0
2021,Greg Herenda,Fairleigh Dickinson,NEC,9,15,0.375,0,0,0,2013-14,101,142,0.416,2,0,0,0,101,142,0.416,2,0,0,0
2021,Ashley Howard,La Salle,A-10,9,16,0.36,0,0,0,2018-19,34,52,0.395,0,0,0,0,34,52,0.395,0,0,0,0
2021,Derek Kellogg,LIU,NEC,9,9,0.5,0,0,0,2017-18,58,60,0.492,1,0,0,0,213,197,0.52,2,0,0,0
2021,Anthony Latina,Sacred Heart,NEC,9,9,0.5,0,0,0,2013-14,99,140,0.414,0,0,0,0,99,140,0.414,0,0,0,0
2021,Fran O'Hanlon,Lafayette,Patriot,9,6,0.6,0,0,0,1995-96,351,413,0.459,3,0,0,0,351,413,0.459,3,0,0,0
2021,Greg Paulus,Niagara,MAAC,9,11,0.45,0,0,0,2019-20,21,31,0.404,0,0,0,0,21,31,0.404,0,0,0,0
2021,Barret Peery,Portland State,Big Sky,9,13,0.409,0,0,0,2017-18,63,57,0.525,0,0,0,0,63,57,0.525,0,0,0,0
2021,Ron Sanchez,Charlotte,CUSA,9,16,0.36,0,0,0,2018-19,33,50,0.398,0,0,0,0,33,50,0.398,0,0,0,0
2021,Paul Sather,North Dakota,Summit,9,17,0.346,0,0,0,2019-20,24,35,0.407,0,0,0,0,24,35,0.407,0,0,0,0
2021,Jay Spoonhour,Eastern Illinois,OVC,9,18,0.333,0,0,0,2012-13,119,157,0.431,0,0,0,0,125,161,0.437,0,0,0,0
2021,Jerry Stackhouse,Vanderbilt,SEC,9,16,0.36,0,0,0,2019-20,20,37,0.351,0,0,0,0,20,37,0.351,0,0,0,0
2021,Damon Stoudamire,Pacific,WCC,9,9,0.5,0,0,0,2016-17,71,77,0.48,0,0,0,0,71,77,0.48,0,0,0,0
2021,Luke Yaklich,UIC,Horizon,9,13,0.409,0,0,0,2020-21,9,13,0.409,0,0,0,0,9,13,0.409,0,0,0,0
2021,Jon Coffman,Purdue Fort Wayne,Horizon,8,15,0.348,0,0,0,2014-15,118,102,0.536,0,0,0,0,118,102,0.536,0,0,0,0
2021,Carson Cunningham,Incarnate Word,Southland,8,14,0.364,0,0,0,2018-19,23,61,0.274,0,0,0,0,23,61,0.274,0,0,0,0
2021,Joe Dooley,East Carolina,AAC,8,11,0.421,0,0,0,1995-96,86,104,0.453,0,0,0,0,200,162,0.552,2,0,0,0
2021,Matthew Driscoll,North Florida,A-Sun,8,15,0.348,0,0,0,2009-10,192,194,0.497,1,0,0,0,192,194,0.497,1,0,0,0
2021,Jon Judkins,Utah Tech,WAC,8,13,0.381,0,0,0,2020-21,8,13,0.381,0,0,0,0,8,13,0.381,0,0,0,0
2021,Brian Katz,Sacramento State,Big Sky,8,12,0.4,0,0,0,2008-09,150,232,0.393,0,0,0,0,150,232,0.393,0,0,0,0
2021,David Kiefer,Southeastern Louisiana,Southland,8,18,0.308,0,0,0,2019-20,16,41,0.281,0,0,0,0,16,41,0.281,0,0,0,0
2021,Jay Ladner,Southern Miss,CUSA,8,17,0.32,0,0,0,2019-20,17,39,0.304,0,0,0,0,93,127,0.423,0,0,0,0
2021,Matt McCall,UMass,A-10,8,7,0.533,0,0,0,2017-18,46,65,0.414,0,0,0,0,94,83,0.531,1,0,0,0
2021,Robert McCullum,Florida A&M,MEAC,8,12,0.4,0,0,0,2017-18,41,71,0.366,0,0,0,0,125,192,0.394,0,0,0,0
2021,Byron Rimm II,IUPUI,Horizon,8,10,0.444,0,0,0,2019-20,15,35,0.3,0,0,0,0,130,227,0.364,0,0,0,0
2021,Montez Robinson,UT-Martin,OVC,8,16,0.333,0,0,0,2020-21,8,16,0.333,0,0,0,0,77,102,0.43,0,0,0,0
2021,Will Ryan,Green Bay,Horizon,8,17,0.32,0,0,0,2020-21,8,17,0.32,0,0,0,0,8,17,0.32,0,0,0,0
2021,Sean Woods,Southern,SWAC,8,11,0.421,0,0,0,2018-19,32,51,0.386,0,0,0,0,159,201,0.442,1,0,0,0
2021,Will Brown,Albany (NY),AEC,7,9,0.438,0,0,0,2001-02,315,295,0.516,5,0,0,0,315,295,0.516,5,0,0,0
2021,Keno Davis,Central Michigan,MAC,7,16,0.304,0,0,0,2012-13,142,143,0.498,0,0,0,0,216,198,0.522,1,0,0,0
2021,Quinton Ferrell,Presbyterian,Big South,7,15,0.318,0,0,0,2019-20,17,37,0.315,0,0,0,0,17,37,0.315,0,0,0,0
2021,Dane Fischer,William & Mary,CAA,7,10,0.412,0,0,0,2019-20,28,21,0.571,0,0,0,0,28,21,0.571,0,0,0,0
2021,Martin Ingelsby,Delaware,CAA,7,8,0.467,0,0,0,2016-17,73,74,0.497,0,0,0,0,73,74,0.497,0,0,0,0
2021,Joe Jones,Boston University,Patriot,7,11,0.389,0,0,0,2011-12,165,144,0.534,0,0,0,0,251,252,0.499,0,0,0,0
2021,Brian Kennedy,NJIT,AEC,7,12,0.368,0,0,0,2016-17,63,82,0.434,0,0,0,0,63,82,0.434,0,0,0,0
2021,Steve Masiello,Manhattan,MAAC,7,13,0.35,0,0,0,2011-12,147,162,0.476,2,0,0,0,147,162,0.476,2,0,0,0
2021,Dan Muller,Illinois State,MVC,7,18,0.28,0,0,0,2012-13,156,135,0.536,0,0,0,0,156,135,0.536,0,0,0,0
2021,Eric Olen,UC-San Diego,Big West,7,10,0.412,0,0,0,2020-21,7,10,0.412,0,0,0,0,7,10,0.412,0,0,0,0
2021,Keith Richard,Louisiana-Monroe,Sun Belt,7,19,0.269,0,0,0,2010-11,128,213,0.375,0,0,0,0,278,330,0.457,0,0,0,0
2021,Takayo Siddle,UNC Wilmington,CAA,7,10,0.412,0,0,0,2020-21,7,10,0.412,0,0,0,0,7,10,0.412,0,0,0,0
2021,Reggie Witherspoon,Canisius,MAAC,7,6,0.538,0,0,0,2016-17,73,71,0.507,0,0,0,0,271,299,0.475,0,0,0,0
2021,Kevin Baggett,Rider,MAAC,6,17,0.261,0,0,0,2012-13,147,133,0.525,0,0,0,0,147,133,0.525,0,0,0,0
2021,Shane Burcar,Northern Arizona,Big Sky,6,16,0.273,0,0,0,2019-20,22,30,0.423,0,0,0,0,22,30,0.423,0,0,0,0
2021,Landon Bussie,Alcorn State,SWAC,6,13,0.316,0,0,0,2020-21,6,13,0.316,0,0,0,0,6,13,0.316,0,0,0,0
2021,Ron Cottrell,Houston Christian,Southland,6,19,0.24,0,0,0,2008-09,126,268,0.32,0,0,0,0,126,268,0.32,0,0,0,0
2021,Steve Forbes,Wake Forest,ACC,6,16,0.273,0,0,0,2020-21,6,16,0.273,0,0,0,0,136,59,0.697,1,0,0,0
2021,Tavaras Hardy,Loyola (MD),Patriot,6,11,0.353,0,0,0,2018-19,32,49,0.395,0,0,0,0,32,49,0.395,0,0,0,0
2021,Dylan Howard,Alabama A&M,SWAC,6,9,0.4,0,0,0,2018-19,19,58,0.247,0,0,0,0,19,58,0.247,0,0,0,0
2021,Rob Krimmel,Saint Francis (PA),NEC,6,16,0.273,0,0,0,2012-13,125,149,0.456,0,0,0,0,125,149,0.456,0,0,0,0
2021,Bucky McMillan,Samford,Southern,6,13,0.316,0,0,0,2020-21,6,13,0.316,0,0,0,0,6,13,0.316,0,0,0,0
2021,Dan Monson,Long Beach State,Big West,6,12,0.333,0,0,0,2007-08,217,229,0.487,1,0,0,0,387,352,0.524,3,1,0,0
2021,Rob Murphy,Eastern Michigan,MAC,6,12,0.333,0,0,0,2011-12,166,155,0.517,0,0,0,0,166,155,0.517,0,0,0,0
2021,Dedrique Taylor,Cal State Fullerton,Big West,6,10,0.375,0,0,0,2013-14,100,137,0.422,1,0,0,0,100,137,0.422,1,0,0,0
2021,Paul Weir,New Mexico,MWC,6,16,0.273,0,0,0,2017-18,58,63,0.479,0,0,0,0,86,69,0.555,1,0,0,0
2021,Amir Abdur-Rahim,Kennesaw State,A-Sun,5,19,0.208,0,0,0,2019-20,6,47,0.113,0,0,0,0,6,47,0.113,0,0,0,0
2021,Clayton Bates,Western Michigan,MAC,5,16,0.238,0,0,0,2020-21,5,16,0.238,0,0,0,0,5,16,0.238,0,0,0,0
2021,Anthony Boone,Central Arkansas,Southland,5,19,0.208,0,0,0,2019-20,14,31,0.311,0,0,0,0,14,31,0.311,0,0,0,0
2021,Jamion Christian,George Washington,A-10,5,12,0.294,0,0,0,2019-20,17,32,0.347,0,0,0,0,135,143,0.486,2,0,0,0
2021,Nathan Davis,Bucknell,Patriot,5,7,0.417,0,0,0,2015-16,108,72,0.6,2,0,0,0,108,72,0.6,2,0,0,0
2021,Dave Dickerson,USC Upstate,Big South,5,18,0.217,0,0,0,2018-19,24,64,0.273,0,0,0,0,92,148,0.383,0,0,0,0
2021,Derrin Hansen,Omaha,Summit,5,20,0.2,0,0,0,2012-13,127,149,0.46,0,0,0,0,127,149,0.46,0,0,0,0
2021,Billy Lange,St. Joseph's,A-10,5,15,0.25,0,0,0,2019-20,11,41,0.212,0,0,0,0,103,156,0.398,0,0,0,0
2021,Donyell Marshall,Central Connecticut,NEC,5,16,0.238,0,0,0,2016-17,40,104,0.278,0,0,0,0,40,104,0.278,0,0,0,0
2021,Nick McDevitt,Middle Tennessee,CUSA,5,18,0.217,0,0,0,2018-19,24,62,0.279,0,0,0,0,122,128,0.488,1,0,0,0
2021,Aaron McKie,Temple,AAC,5,11,0.312,0,0,0,2019-20,19,28,0.404,0,0,0,0,19,28,0.404,0,0,0,0
2021,LeVelle Moton,North Carolina Central,MEAC,5,9,0.357,0,0,0,2009-10,212,157,0.575,4,0,0,0,212,157,0.575,4,0,0,0
2021,Brett Nelson,Holy Cross,Patriot,5,11,0.312,0,0,0,2019-20,8,40,0.167,0,0,0,0,8,40,0.167,0,0,0,0
2021,Jean Prioleau,San Jose State,MWC,5,16,0.238,0,0,0,2017-18,20,93,0.177,0,0,0,0,20,93,0.177,0,0,0,0
2021,Joe Scott,Air Force,MWC,5,20,0.2,0,0,0,2000-01,56,83,0.403,1,0,0,0,240,260,0.48,1,0,0,0
2021,Willis Wilson,Texas A&M-Corpus Christi,Southland,5,19,0.208,0,0,0,2011-12,143,170,0.457,0,0,0,0,361,417,0.464,0,0,0,0
2021,Mike Brennan,American,Patriot,4,6,0.4,0,0,0,2013-14,98,129,0.432,1,0,0,0,98,129,0.432,1,0,0,0
2021,Brian Collins,Tennessee State,OVC,4,19,0.174,0,0,0,2018-19,31,55,0.36,0,0,0,0,31,55,0.36,0,0,0,0
2021,Tommy Dempsey,Binghamton,AEC,4,14,0.222,0,0,0,2012-13,71,194,0.268,0,0,0,0,190,299,0.389,0,0,0,0
2021,George Ivory,Arkansas-Pine Bluff,SWAC,4,21,0.16,0,0,0,2008-09,140,269,0.342,1,0,0,0,140,269,0.342,1,0,0,0
2021,Pat Skerry,Towson,CAA,4,14,0.222,0,0,0,2011-12,147,164,0.473,0,0,0,0,147,164,0.473,0,0,0,0
2021,John Smith,Cal Poly,Big West,4,20,0.167,0,0,0,2019-20,11,43,0.204,0,0,0,0,11,43,0.204,0,0,0,0
2021,Andrew Toole,Robert Morris,Horizon,4,15,0.211,0,0,0,2010-11,192,169,0.532,1,0,0,0,192,169,0.532,1,0,0,0
2021,Mo Williams,Alabama State,SWAC,4,14,0.222,0,0,0,2020-21,4,14,0.222,0,0,0,0,4,14,0.222,0,0,0,0
2021,Mark Montgomery,Northern Illinois,MAC,3,16,0.158,0,0,0,2011-12,126,179,0.413,0,0,0,0,126,179,0.413,0,0,0,0
2021,Barclay Radebaugh,Charleston Southern,Big South,3,18,0.143,0,0,0,2005-06,210,274,0.434,0,0,0,0,210,274,0.434,0,0,0,0
2021,Sam Scholl,San Diego,WCC,3,11,0.214,0,0,0,2018-19,33,49,0.402,0,0,0,0,33,49,0.402,0,0,0,0
2021,Eric Skeeters,Delaware State,MEAC,3,16,0.158,0,0,0,2018-19,15,67,0.183,0,0,0,0,15,67,0.183,0,0,0,0
2021,Richard Barron,Maine,AEC,2,7,0.222,0,0,0,2018-19,16,56,0.222,0,0,0,0,16,56,0.222,0,0,0,0
2021,Rodney Billups,Denver,Summit,2,19,0.095,0,0,0,2016-17,48,94,0.338,0,0,0,0,48,94,0.338,0,0,0,0
2021,Lindsey Hunter Jr,Mississippi Valley State,SWAC,2,22,0.083,0,0,0,2019-20,5,49,0.093,0,0,0,0,5,49,0.093,0,0,0,0
2021,Kenneth Blakeney,Howard,MEAC,1,4,0.2,0,0,0,2019-20,5,33,0.132,0,0,0,0,5,33,0.132,0,0,0,0
2021,Zac Claus,Idaho,Big Sky,1,21,0.045,0,0,0,2019-20,9,45,0.167,0,0,0,0,9,45,0.167,0,0,0,0
2021,Mike DePaoli,Fordham,A-10,1,5,0.167,0,0,0,2020-21,1,5,0.167,0,0,0,0,1,5,0.167,0,0,0,0
2021,Murray Garvin,South Carolina State,MEAC,1,17,0.056,0,0,0,2012-13,82,168,0.328,0,0,0,0,82,168,0.328,0,0,0,0
2021,Scott Spinelli,Boston College,ACC,1,3,0.25,0,0,0,2020-21,1,3,0.25,0,0,0,0,1,3,0.25,0,0,0,0
2021,Jai Steadman,Texas-Rio Grande Valley,WAC,1,6,0.143,0,0,0,2020-21,1,6,0.143,0,0,0,0,1,6,0.143,0,0,0,0
2021,Brian Earl,Cornell,Ivy,0,0,0,0,0,0,2016-17,42,73,0.365,0,0,0,0,42,73,0.365,0,0,0,0
2021,Jim Engles,Columbia,Ivy,0,0,0,0,0,0,2016-17,35,77,0.312,0,0,0,0,146,216,0.403,0,0,0,0
2021,Mitch Henderson,Princeton,Ivy,0,0,0,0,0,0,2011-12,162,101,0.616,1,0,0,0,162,101,0.616,1,0,0,0
2021,Lance Irvin,Chicago State,WAC,0,9,0,0,0,0,2018-19,7,63,0.1,0,0,0,0,7,63,0.1,0,0,0,0
2021,Ben Johnson,Portland,WCC,0,4,0,0,0,0,2020-21,0,4,0,0,0,0,0,0,4,0,0,0,0,0
2021,Mike Martin,Brown,Ivy,0,0,0,0,0,0,2012-13,108,124,0.466,0,0,0,0,108,124,0.466,0,0,0,0
2021,David McLaughlin,Dartmouth,Ivy,0,0,0,0,0,0,2016-17,37,76,0.327,0,0,0,0,37,76,0.327,0,0,0,0
2019,Roy Williams,UNC,ACC,29,7,0.806,8,3,Lost Regional Semifinal,2003-04,453,133,0.773,15,10,5,3,871,234,0.788,29,19,9,3
2019,Bill Self,Kansas,Big 12,26,10,0.722,1,17,Lost Second Round,2003-04,473,106,0.817,16,10,3,1,680,211,0.763,21,13,3,1
2019,Mike Krzyzewski,Duke,ACC,32,6,0.842,4,1,Lost Regional Final,1980-81,1059,285,0.788,35,25,12,5,1132,344,0.767,35,25,12,5
2019,John Calipari ,Kentucky,SEC,30,7,0.811,2,7,Lost Regional Final,2009-10,305,71,0.811,9,8,4,1,750,211,0.78,20,15,6,1
2019,Tom Izzo,Michigan State,Big Ten,32,7,0.821,10,5,Lost National Semifinal,1995-96,606,232,0.723,22,14,8,1,606,232,0.723,22,14,8,1
2019,Jay Wright,Villanova,Big East,26,10,0.722,9,23,Lost Second Round,2001-02,448,175,0.719,14,6,3,2,570,260,0.687,16,6,3,2
2019,Mark Few,Gonzaga,WCC,33,4,0.892,3,4,Lost Regional Final,1999-00,568,122,0.823,20,9,1,0,568,122,0.823,20,9,1,0
2019,John Beilein,Michigan,Big Ten,30,7,0.811,19,8,Lost Regional Semifinal,2007-08,278,150,0.65,9,5,2,0,571,325,0.637,13,7,2,0
2019,Tony Bennett,Virginia,ACC,35,3,0.921,5,2,Won National Final,2009-10,254,89,0.741,7,3,1,1,323,122,0.726,9,4,1,1
2019,Jim Boeheim ,Syracuse,ACC,20,14,0.588,16,0,Lost First Round,1976-77,1047,385,0.731,34,19,5,1,1047,385,0.731,34,19,5,1
2019,Sean Miller,Arizona,Pac-12,17,15,0.531,0,0,0,2009-10,264,89,0.748,7,5,0,0,384,136,0.738,11,7,0,0
2019,Rick Barnes,Tennessee,SEC,31,6,0.838,6,6,Lost Regional Semifinal,2015-16,88,50,0.638,2,1,0,0,692,364,0.655,24,7,1,0
2019,Ben Howland,Mississippi State,SEC,23,11,0.676,18,0,Lost First Round,2015-16,78,56,0.582,1,0,0,0,477,264,0.644,11,5,3,0
2019,Bob Huggins,West Virginia,Big 12,15,21,0.417,13,0,0,2007-08,270,151,0.641,9,5,1,0,788,337,0.7,24,9,2,0
2019,Matt Painter,Purdue,Big Ten,26,10,0.722,24,13,Lost Regional Final,2005-06,321,159,0.669,11,5,0,0,346,164,0.678,12,5,0,0
2019,Bruce Weber,Kansas State,Big 12,25,9,0.735,12,18,Lost First Round,2012-13,150,89,0.628,5,1,0,0,463,244,0.655,13,4,1,0
2019,Jamie Dixon,TCU,Big 12,23,14,0.622,20,0,0,2016-17,68,41,0.624,1,0,0,0,396,164,0.707,12,3,0,0
2019,Bruce Pearl,Auburn,SEC,30,10,0.75,11,14,Lost National Semifinal,2014-15,100,72,0.581,2,1,1,0,331,171,0.659,10,5,1,0
2019,Dana Altman,Oregon,Pac-12,25,13,0.658,14,0,Lost Regional Semifinal,2010-11,235,96,0.71,6,4,1,0,645,339,0.655,14,4,1,0
2019,Chris Mack,Louisville,ACC,20,14,0.588,0,0,Lost First Round,2018-19,20,14,0.588,1,0,0,0,235,111,0.679,9,4,0,0
2019,Mike Brey,Notre Dame,ACC,14,19,0.424,0,0,0,2000-01,417,221,0.654,12,3,0,0,516,273,0.654,14,3,0,0
2019,Tom Crean,Georgia,SEC,11,21,0.344,0,0,0,2018-19,11,21,0.344,0,0,0,0,367,252,0.593,9,4,1,0
2019,Gregg Marshall,Wichita State,AAC,22,15,0.595,0,0,0,2007-08,308,113,0.732,7,2,1,0,502,196,0.719,14,2,1,0
2019,Scott Drew,Baylor,Big 12,20,14,0.588,0,0,Lost Second Round,2003-04,318,209,0.603,8,4,0,0,338,220,0.606,8,4,0,0
2019,Frank Martin,South Carolina,SEC,16,16,0.5,0,0,0,2012-13,129,106,0.549,1,1,1,0,246,160,0.606,5,2,1,0
2019,Tubby Smith,High Point,Big South,16,15,0.516,0,0,0,2018-19,16,15,0.516,0,0,0,0,613,317,0.659,18,9,1,1
2019,Lon Kruger,Oklahoma,Big 12,20,14,0.588,0,0,Lost Second Round,2011-12,160,105,0.604,6,2,1,0,639,409,0.61,19,5,2,0
2019,Mike Anderson Sr,Arkansas,SEC,18,16,0.529,0,0,0,2011-12,169,102,0.624,3,0,0,0,369,200,0.649,9,2,0,0
2019,Jim Larranaga,Miami (FL),ACC,14,18,0.438,0,0,0,2011-12,175,97,0.643,4,2,0,0,617,406,0.603,9,3,1,0
2019,Buzz Williams,Virginia Tech,ACC,26,9,0.743,15,16,Lost Regional Semifinal,2014-15,100,69,0.592,3,1,0,0,253,155,0.62,8,4,0,0
2019,Mark Turgeon,Maryland,Big Ten,23,11,0.676,0,0,Lost Second Round,2011-12,180,92,0.662,4,1,0,0,430,251,0.631,9,2,0,0
2019,Lorenzo Romar,Pepperdine,WCC,16,18,0.471,0,0,0,1996-97,58,62,0.483,0,0,0,0,407,302,0.574,7,3,0,0
2019,Mark Gottfried,Cal State Northridge,Big West,13,21,0.382,0,0,0,2018-19,13,21,0.382,0,0,0,0,414,262,0.612,11,3,0,0
2019,Steve Alford,UCLA,Pac-12,7,6,0.538,21,0,0,2013-14,124,63,0.663,4,3,0,0,509,269,0.654,11,4,0,0
2019,Leonard Hamilton ,Florida State,ACC,29,8,0.784,17,10,Lost Regional Semifinal,2002-03,356,216,0.622,7,3,0,0,556,426,0.566,10,4,0,0
2019,Kelvin Sampson,Houston,AAC,33,4,0.892,0,11,Lost Regional Semifinal,2014-15,116,52,0.69,2,1,0,0,541,279,0.66,16,4,1,0
2019,Mick Cronin,Cincinnati,AAC,28,7,0.8,0,22,Lost First Round,2006-07,296,147,0.668,9,1,0,0,365,171,0.681,11,1,0,0
2019,Shaka Smart,Texas,Big 12,21,16,0.568,0,0,0,2015-16,71,66,0.518,2,0,0,0,234,122,0.657,7,1,1,0
2019,Chris Holtmann,Ohio State,Big Ten,20,15,0.571,0,0,Lost Second Round,2017-18,45,24,0.652,2,0,0,0,159,109,0.593,5,1,0,0
2019,Herb Sendek,Santa Clara,WCC,16,15,0.516,0,0,0,2016-17,44,51,0.463,0,0,0,0,457,346,0.569,8,1,0,0
2019,Billy Kennedy,Texas A&M,SEC,14,18,0.438,0,0,0,2011-12,151,116,0.566,2,2,0,0,362,295,0.551,4,2,0,0
2019,Al Skinner Jr,Kennesaw State,A-Sun,6,26,0.188,0,0,0,2015-16,41,84,0.328,0,0,0,0,426,375,0.532,9,1,0,0
2019,Chris Beard,Texas Tech,Big 12,31,7,0.816,0,9,Lost National Final,2016-17,76,31,0.71,2,2,1,0,106,36,0.746,3,2,1,0
2019,Mike Hopkins,Washington,Pac-12,27,9,0.75,25,0,Lost Second Round,2017-18,48,22,0.686,0,0,0,0,52,27,0.658,1,0,0,0
2019,Greg Gard,Wisconsin,Big Ten,23,11,0.676,0,21,Lost First Round,2015-16,80,47,0.63,3,2,0,0,80,47,0.63,3,2,0,0
